Latidude, Longitude
60.2428868,9.9164683
60.2434488,9.9153209
60.2445451,9.9132372
60.2451392,9.9123644
60.2483435,9.9078481
60.2483926,9.9078322
60.2608248,9.873067
60.2608924,9.87273
60.2611036,9.8719325
60.2613777,9.8705973
60.2616922,9.8669287
60.2613366,9.8627492
60.26098,9.861164
60.2589329,9.8539791
60.2586585,9.8525048
60.2592386,9.843535
60.2665756,9.7956015
60.2665902,9.7952777
60.2666898,9.7940889
60.2670818,9.7908474
60.2767786,9.7685909
60.2863941,9.748841
60.2869313,9.7479102
60.2882826,9.7454591
60.2886443,9.7273091
60.2917809,9.6831042
60.2918996,9.6830124
60.2943804,9.6827897
60.2945263,9.6827735
60.2972717,9.6821492
60.2996103,9.680844
60.3006894,9.6792521
60.313942,9.6746285
60.3174548,9.6745916
60.3242461,9.6709791
60.324295,9.6709392
60.3249157,9.6704338
60.3261068,9.6663038
60.3269399,9.6603657
60.3273128,9.6599813
60.3297189,9.6548983
60.3305088,9.6520476
60.3305753,9.651889
60.3309031,9.6512143
60.3333833,9.6488564
60.3340575,9.6487763
60.3386704,9.6483206
60.3396413,9.6485125
60.3400059,9.6485334
60.3426913,9.6466912
60.3481823,9.641831
60.3495094,9.643778
60.3503829,9.6445296
60.3536551,9.645201
60.3605536,9.6443407
60.3706078,9.6377299
60.3707252,9.6375362
60.3712263,9.6364543
60.3713333,9.6361617
60.3732837,9.6299153
60.3740345,9.6264739
60.3740231,9.6262998
60.3803203,9.6144759
60.3808398,9.613543
60.3812487,9.6122158
60.381642,9.6102004
60.3817994,9.60939
60.3819205,9.6087679
60.3825074,9.6060233
60.3845772,9.600343
60.3866774,9.5964916
60.3876969,9.5948148
60.3882078,9.5914783
60.3881726,9.5909416
60.3879522,9.5895323
60.3877172,9.5886128
60.3875581,9.5879891
60.3873562,9.5869209
60.3871617,9.585641
60.3863287,9.5814646
60.3863052,9.580937
60.3863134,9.580068
60.3863459,9.5796212
60.3867858,9.577436
60.3868764,9.5771201
60.3869775,9.5767831
60.3879035,9.5726308
60.3880908,9.5715074
60.3882352,9.5706435
60.3883402,9.5698617
60.388476,9.5671539
60.3885949,9.5639374
60.3886514,9.5621481
60.3873324,9.5540114
60.3864792,9.5484694
60.3878835,9.5367484
60.3891324,9.5347307
60.3905535,9.5337874
60.3906977,9.5336931
60.390902,9.5335322
60.3914674,9.5327872
60.3921103,9.5212968
60.3924884,9.5173255
60.3931454,9.5159528
60.3942212,9.513671
60.3952749,9.5114745
60.3961915,9.5099234
60.3972715,9.5036669
60.3972833,9.5026368
60.3984416,9.5000047
60.4022758,9.4977333
60.4067587,9.4962952
60.4084885,9.4967704
60.4097653,9.4956437
60.4100249,9.4950935
60.4100839,9.494949
60.412006,9.4903718
60.4129076,9.4882222
60.4130179,9.4879631
60.4132877,9.4874037
60.4136161,9.4868968
60.4166208,9.4840451
60.4212515,9.4754505
60.423312,9.4715028
60.4234641,9.4710773
60.4249595,9.4676123
60.4250197,9.4675414
60.4252376,9.4673395
60.4264861,9.4666645
60.427234,9.4662874
60.4275362,9.466282
60.4276776,9.4661559
60.4279128,9.4658591
60.4286056,9.4650861
60.4290735,9.4643033
60.429178,9.4640968
60.4295795,9.4633186
60.4297222,9.4630348
60.4300846,9.462318
60.4302322,9.4620348
60.431142,9.460259
60.4316762,9.4593244
60.4319421,9.4590241
60.4320309,9.4588631
60.4321989,9.4582566
60.4325961,9.4573622
60.4330245,9.4566111
60.4346186,9.4536926
60.4351632,9.4519342
60.4361734,9.4507045
60.4369158,9.4504189
60.4386378,9.4440554
60.4385617,9.4419119
60.4382846,9.4352075
60.438257,9.434952
60.4379204,9.4321151
60.4379129,9.4319357
60.4379332,9.4305735
60.4379788,9.4295233
60.437177,9.4252797
60.4349489,9.4216072
60.426913,9.4101528
60.4259006,9.4077701
60.4258831,9.4075327
60.4258584,9.4048349
60.4258531,9.4046519
60.4247317,9.3969081
60.4246319,9.3964115
60.4244724,9.3956379
60.4244351,9.3954644
60.4234583,9.3909036
60.422642,9.3863407
60.4224396,9.3847805
60.4224124,9.3845748
60.4223419,9.3840328
60.4222652,9.3834453
